subNb	sessionNb	globalBlockNb	blockType	blockIndexWithinType	backboneTrials	nbTargetsPlanned	trialNbInBlock	baseIndex	origin	direction	isTarget	trialOnset	trialDurationPlanned	stimOnset	stimDurationAchieved	itiPlanned	itiAchieved	stimFrames	itiFrames	keyPressed	RT	outcome	refreshHz	dotLifeFrames	simulateOnly	droppedFramesStim	droppedFramesITI	droppedFramesTrial
999	1	1	tac_down	1	160	16	89	81	actual	wrist_to_finger	0	156.7274	1.6848	156.7274	0.5004	1.1889	1.1844	30	71			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	90	82	actual	pinky_to_thumb	0	158.4111	1.7515	158.4111	0.5004	1.2461	1.2511	30	75			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	91	83	actual	finger_to_wrist	0	160.1602	1.6681	160.1602	0.5004	1.1674	1.1677	30	70			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	92	84	actual	thumb_to_pinky	0	161.8270	1.7515	161.8270	0.5004	1.2465	1.2511	30	75			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	93	85	actual	finger_to_wrist	0	163.5786	1.8683	163.5786	0.5004	1.3720	1.3679	30	82			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	94	86	actual	thumb_to_pinky	0	165.4437	1.7515	165.4437	0.5004	1.2446	1.2511	30	75			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	95	87	actual	wrist_to_finger	0	167.1948	1.6848	167.1948	0.5004	1.1858	1.1844	30	71			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	96	88	actual	pinky_to_thumb	0	168.8771	1.6681	168.8771	0.5004	1.1671	1.1677	30	70			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	97	88	duplicate	pinky_to_thumb	1	170.5436	1.6515	170.5436	0.5004	1.1554	1.1510	30	69			MISS	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	98	89	actual	thumb_to_pinky	0	172.1942	1.6181	172.1942	0.5004	1.1226	1.1176	30	67			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	99	90	actual	finger_to_wrist	0	173.8108	1.6348	173.8108	0.5004	1.1260	1.1343	30	68			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	100	91	actual	pinky_to_thumb	0	175.4438	1.8516	175.4438	0.5004	1.3588	1.3512	30	81			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	101	92	actual	wrist_to_finger	0	177.2939	1.7182	177.2939	0.5004	1.2109	1.2177	30	73			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	102	93	actual	finger_to_wrist	0	179.0110	1.9517	179.0110	0.5004	1.4474	1.4513	30	87			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	103	94	actual	wrist_to_finger	0	180.9621	1.7182	180.9621	0.5004	1.2140	1.2177	30	73			CORRECT_REJECT	59.947		0	1	0	1
999	1	1	tac_down	1	160	16	104	95	actual	thumb_to_pinky	0	182.6776	1.6681	182.6776	0.5004	1.1693	1.1677	30	70			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	105	96	actual	pinky_to_thumb	0	184.3435	1.9517	184.3435	0.5004	1.4493	1.4513	30	87			CORRECT_REJECT	59.947		0	0	2	2
999	1	1	tac_down	1	160	16	106	96	duplicate	pinky_to_thumb	1	186.2931	1.5514	186.2931	0.5004	1.0562	1.0509	30	63			MISS	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	107	97	actual	thumb_to_pinky	0	187.8439	1.6681	187.8439	0.5004	1.1671	1.1677	30	70			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	108	98	actual	finger_to_wrist	0	189.5115	1.7849	189.5115	0.5004	1.2803	1.2845	30	77			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	109	99	actual	wrist_to_finger	0	191.2942	1.8183	191.2942	0.5004	1.3109	1.3178	30	79			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	110	100	actual	pinky_to_thumb	0	193.1113	1.8850	193.1113	0.5004	1.3850	1.3845	30	83			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	111	101	actual	wrist_to_finger	0	194.9942	1.8516	194.9942	0.5004	1.3468	1.3512	30	81			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	112	101	duplicate	wrist_to_finger	1	196.8442	1.6848	196.8442	0.5004	1.1780	1.1844	30	71			MISS	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	113	102	actual	thumb_to_pinky	0	198.5280	1.8516	198.5280	0.5004	1.3490	1.3512	30	81			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	114	103	actual	finger_to_wrist	0	200.3782	1.6681	200.3782	0.5004	1.1657	1.1677	30	70			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	115	104	actual	pinky_to_thumb	0	202.0441	1.7515	202.0441	0.5004	1.2574	1.2511	30	75			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	116	105	actual	wrist_to_finger	0	203.7941	1.5514	203.7941	0.5004	1.0536	1.0509	30	63			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	117	106	actual	pinky_to_thumb	0	205.3443	1.7015	205.3443	0.5004	1.2026	1.2011	30	72			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	118	107	actual	thumb_to_pinky	0	207.0443	1.7349	207.0443	0.5004	1.2283	1.2344	30	74			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	119	107	duplicate	thumb_to_pinky	1	208.7775	1.7349	208.7775	0.5004	1.2321	1.2344	30	74			MISS	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	120	108	actual	finger_to_wrist	0	210.5109	1.9017	210.5109	0.5004	1.3940	1.4012	30	84			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	121	109	actual	thumb_to_pinky	0	212.4110	1.9184	212.4110	0.5004	1.4259	1.4179	30	85			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	122	110	actual	pinky_to_thumb	0	214.3109	1.7015	214.3109	0.5004	1.1930	1.2011	30	72			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	123	111	actual	wrist_to_finger	0	216.0116	1.6681	216.0116	0.5004	1.1731	1.1677	30	70			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	124	112	actual	finger_to_wrist	0	217.6786	1.7515	217.6786	0.5004	1.2569	1.2511	30	75			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	125	112	duplicate	finger_to_wrist	1	219.4276	1.5180	219.4276	0.5004	1.0207	1.0176	30	61			MISS	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	126	113	actual	wrist_to_finger	0	220.9443	1.6681	220.9443	0.5004	1.1615	1.1677	30	70			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	127	114	actual	finger_to_wrist	0	222.6114	1.6681	222.6114	0.5004	1.1599	1.1677	30	70			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	128	115	actual	thumb_to_pinky	0	224.2781	1.6181	224.2781	0.5004	1.1132	1.1176	30	67			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	129	116	actual	pinky_to_thumb	0	225.8946	1.7015	225.8946	0.5004	1.1932	1.2011	30	72			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	130	117	actual	thumb_to_pinky	0	227.5960	1.5180	227.5960	0.5004	1.0161	1.0176	30	61			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	131	118	actual	pinky_to_thumb	0	229.1115	1.7015	229.1115	0.5004	1.2017	1.2011	30	72			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	132	119	actual	wrist_to_finger	0	230.8113	1.5847	230.8113	0.5004	1.0911	1.0843	30	65			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	133	120	actual	finger_to_wrist	0	232.3948	1.5847	232.3948	0.5004	1.0760	1.0843	30	65			CORRECT_REJECT	59.947		0	0	0	0
